# {"t_start": 1591372385.3888662, "env_id": "Block2D-v1"} 
r,l,t
-86.731211,86,1404.178107
-74.744494,77,1404.302725
-84.706231,89,1404.372308
-108.881581,108,1404.444324
-96.870418,86,1404.564435
-86.322599,83,1404.627558
-78.050637,73,1404.688047
-77.357912,75,1404.719421
-85.809807,83,1404.757108
-90.588594,99,1404.830912
-105.062393,103,1405.229621
-87.141868,87,1405.29088
-78.328844,80,1405.355885
-79.478038,75,1405.423044
-72.833677,72,1405.455724
-87.059376,84,1405.495633
-82.399779,77,1405.560566
-84.702754,86,1405.699783
-92.091408,86,1405.767197
-84.95225,77,1406.037192
-99.706797,103,1406.118298
-86.309287,83,1406.17733
-92.031355,86,1406.247928
-104.938911,90,1406.318193
-86.713151,90,1406.386584
-93.002474,96,1406.592227
-87.637575,77,1406.652959
-83.770719,77,1406.721278
-96.406708,98,1406.86244
-88.792259,86,1407.057498
-99.361419,103,1407.131119
-89.718396,93,1407.258427
-86.61249,86,1407.522805
-83.376545,84,1407.586201
-93.238681,97,1407.656289
-79.888593,76,1407.776346
-95.11742,96,1407.853936
-84.936435,77,1407.913144
-96.473528,97,1407.993499
-79.242512,74,1408.125657
-84.451249,79,1408.338957
-91.477452,92,1408.622941
-90.375971,83,1408.825439
-83.62526,80,1408.892936
-87.715515,79,1408.960099
-94.921045,97,1409.033612
-89.290872,84,1409.094248
-76.121742,73,1409.300967
-82.81789,76,1409.335876
-89.194482,86,1434.905289
-92.065867,97,1434.981866
-83.071463,85,1435.047274
-98.426563,87,1435.11651
-97.319042,99,1435.257963
-78.660009,73,1435.310965
-98.452481,97,1435.449195
-96.405893,95,1435.515165
-96.609176,94,1435.78616
-97.352606,97,1435.858236
-92.161743,94,1435.926411
-83.527931,83,1435.989852
-92.501688,97,1436.062826
-78.433419,80,1436.121467
-73.060691,72,1436.183761
-80.725415,85,1436.254454
-105.882329,102,1436.458963
-78.861234,79,1436.588629
-101.380875,100,1436.801005
-94.995379,99,1436.865122
-77.4034,73,1437.044279
-98.827446,94,1437.116241
-79.586877,75,1437.170554
-101.203461,105,1437.247052
-87.433051,81,1437.305158
-96.473245,104,1437.384955
-76.232602,73,1437.438282
-90.086158,84,1437.51129
-106.784271,103,1437.594896
-83.928999,75,1437.661806
-91.585918,94,1437.749408
-75.095384,78,1437.808603
-91.582451,94,1437.880623
-95.671019,100,1438.019009
-101.699088,104,1438.090292
-103.549279,102,1438.155131
-82.536196,85,1438.214145
-93.858167,97,1438.286138
-90.021566,87,1438.349976
-81.089145,74,1438.414521
-80.334353,83,1438.554501
-88.729181,96,1438.625764
-78.142701,79,1438.813735
-91.725533,93,1438.885049
-89.15862,75,1438.941757
-75.824051,72,1439.005047
-82.676485,75,1439.039832
-91.156744,84,1439.07906
-84.431905,86,1439.146843
-71.653289,74,1439.208317
-82.050531,81,1439.283964
-86.454958,77,1439.352371
-98.997322,96,1439.502442
-90.093607,82,1439.56563
-93.307888,85,1439.636862
-80.237807,75,1439.831934
-96.472456,97,1439.976164
-94.453591,85,1440.039856
-82.49233,77,1440.239367
-82.812988,80,1465.718868
-86.785936,92,1465.792188
-89.141578,84,1465.855619
-72.967461,80,1465.989338
-89.198385,89,1466.060692
-73.947533,77,1466.248168
-89.832343,83,1466.440373
-76.903465,79,1466.639302
-77.23435,74,1466.705294
-63.148641,68,1466.735631
-76.022871,84,1466.777026
-81.820509,80,1466.908756
-81.893849,91,1467.103977
-90.435003,84,1467.173598
-69.446629,69,1467.300785
-91.473591,93,1467.378133
-83.400468,92,1467.444955
-80.019949,74,1467.50246
-77.271815,80,1467.572061
-81.95179,75,1467.636722
-85.93199,78,1467.704307
-98.186871,102,1467.90485
-84.898643,84,1467.959957
-80.118027,82,1468.021968
-72.221734,71,1468.083755
-73.120498,73,1468.116048
-92.384237,97,1468.161546
-70.530987,71,1468.279447
-88.994322,91,1468.353887
-80.712651,73,1468.410949
-80.934262,80,1468.543689
-97.190533,94,1468.611562
-76.024919,72,1468.66479
-87.790435,85,1468.733669
-73.773952,71,1468.860738
-74.736933,72,1469.060127
-78.845273,74,1469.092261
-80.480169,73,1469.125591
-87.006438,94,1469.276641
-71.85839,70,1469.334866
-81.609865,79,1469.371342
-75.827938,78,1469.542292
-77.310054,77,1469.963704
-78.861862,74,1470.031132
-75.089096,80,1470.102362
-92.79906,96,1470.17674
-96.126328,102,1470.381352
-82.041738,75,1470.437231
-74.865194,70,1470.506586
-68.729893,77,1470.542556
-95.547096,95,1470.587973
-74.956389,77,1470.648998
-79.106132,80,1470.720881
-69.956061,71,1470.787659
-70.75603,72,1470.821157
-72.53123,75,1470.928019
-107.034188,90,1496.223571
-70.076183,71,1496.282467
-73.753411,75,1496.351664
-112.909772,101,1496.490964
-73.104364,78,1496.546135
-83.754807,83,1496.752305
-90.182197,94,1496.824313
-83.609938,81,1496.957426
-78.539669,81,1497.023402
-97.892836,101,1497.100878
-92.237613,91,1497.165463
-73.767925,72,1497.229021
-73.96684,71,1497.298346
-100.242602,77,1497.439014
-68.811766,70,1497.4714
-81.384477,74,1497.506695
-79.926855,75,1497.540742
-78.89639,84,1497.646175
-67.946111,69,1497.906275
-89.641578,78,1497.941465
-79.348057,74,1497.976159
-81.628784,74,1498.044422
-74.388318,72,1498.07655
-92.539233,93,1498.258
-76.479618,75,1498.317583
-82.479223,81,1498.388911
-89.332337,83,1498.524305
-84.552374,81,1498.591079
-84.264122,81,1498.659347
-79.714162,74,1498.72329
-78.932195,78,1498.860076
-76.847019,71,1498.892425
-78.765332,81,1498.929727
-79.349003,85,1498.999108
-95.000879,95,1499.208157
-84.007168,74,1499.266706
-81.075589,73,1499.299104
-73.478118,71,1499.332551
-77.2338,79,1499.402824
-75.905822,77,1499.47041
-78.692967,73,1499.537784
